(E: 1,C: 8) Reloj 18.56877 | Clientes en cola: 2
(E: 1,C: 9) Reloj 17.86530 | Clientes en cola: 1
(E: 1,C: 10) Reloj 7.71851 | Clientes en cola: 1
(E: 1,C: 10) Reloj 17.66781 | Clientes en cola: 2
(E: 1,C: 11) Reloj 5.80538 | Clientes en cola: 1
(E: 1,C: 11) Reloj 7.01613 | Clientes en cola: 2
(E: 1,C: 12) Reloj 108.33847 | Clientes en cola: 1
(E: 1,C: 13) Reloj 12.84083 | Clientes en cola: 1
(E: 1,C: 13) Reloj 15.01135 | Clientes en cola: 2
(E: 1,C: 14) Reloj 10.40389 | Clientes en cola: 1
(E: 1,C: 15) Reloj 6.96024 | Clientes en cola: 1
(E: 1,C: 15) Reloj 9.00853 | Clientes en cola: 2
(E: 1,C: 16) Reloj 9.87818 | Clientes en cola: 1
(E: 1,C: 17) Reloj 10.17049 | Clientes en cola: 1
(E: 1,C: 17) Reloj 11.85966 | Clientes en cola: 2
(E: 1,C: 17) Reloj 13.98007 | Clientes en cola: 4
(E: 1,C: 17) Reloj 15.05783 | Clientes en cola: 6
(E: 1,C: 18) Reloj 0.32588 | Clientes en cola: 1
(E: 1,C: 18) Reloj 2.22703 | Clientes en cola: 2
(E: 1,C: 19) Reloj 55.67380 | Clientes en cola: 1
(E: 1,C: 20) Reloj 75.51227 | Clientes en cola: 1
(E: 1,C: 21) Reloj 13.76226 | Clientes en cola: 1
(E: 1,C: 21) Reloj 13.88061 | Clientes en cola: 2
(E: 1,C: 22) Reloj 4.35360 | Clientes en cola: 1
(E: 1,C: 22) Reloj 11.50438 | Clientes en cola: 2
(E: 1,C: 22) Reloj 34.46057 | Clientes en cola: 5
(E: 1,C: 23) Reloj 15.04468 | Clientes en cola: 1
(E: 1,C: 24) Reloj 54.00081 | Clientes en cola: 1
(E: 1,C: 25) Reloj 34.06875 | Clientes en cola: 1
(E: 1,C: 26) Reloj 5.05433 | Clientes en cola: 1
(E: 1,C: 26) Reloj 7.46086 | Clientes en cola: 2
(E: 1,C: 26) Reloj 16.83244 | Clientes en cola: 4
(E: 1,C: 27) Reloj 2.89732 | Clientes en cola: 1
(E: 1,C: 28) Reloj 32.49410 | Clientes en cola: 1
(E: 1,C: 29) Reloj 33.97164 | Clientes en cola: 1
(E: 1,C: 30) Reloj 7.65293 | Clientes en cola: 1
(E: 1,C: 31) Reloj 6.08607 | Clientes en cola: 1
(E: 1,C: 31) Reloj 17.43911 | Clientes en cola: 2
(E: 1,C: 32) Reloj 46.84356 | Clientes en cola: 1
(E: 1,C: 33) Reloj 7.44631 | Clientes en cola: 1
(E: 1,C: 33) Reloj 12.61130 | Clientes en cola: 2
(E: 1,C: 34) Reloj 26.68767 | Clientes en cola: 1
(E: 1,C: 35) Reloj 34.92904 | Clientes en cola: 1
(E: 1,C: 36) Reloj 15.97811 | Clientes en cola: 1
(E: 1,C: 37) Reloj 4.88030 | Clientes en cola: 1
(E: 1,C: 37) Reloj 7.95743 | Clientes en cola: 2
(E: 1,C: 37) Reloj 13.89354 | Clientes en cola: 5
(E: 1,C: 38) Reloj 4.65017 | Clientes en cola: 1
(E: 1,C: 38) Reloj 7.84966 | Clientes en cola: 2
(E: 1,C: 38) Reloj 14.88795 | Clientes en cola: 8
(E: 1,C: 39) Reloj 5.97873 | Clientes en cola: 1
(E: 1,C: 39) Reloj 10.54776 | Clientes en cola: 2
(E: 1,C: 40) Reloj 26.62165 | Clientes en cola: 1
(E: 1,C: 41) Reloj 19.55012 | Clientes en cola: 1
(E: 1,C: 42) Reloj 9.39878 | Clientes en cola: 1
(E: 1,C: 42) Reloj 13.36301 | Clientes en cola: 2
(E: 1,C: 43) Reloj 18.36962 | Clientes en cola: 1
(E: 1,C: 44) Reloj 6.19250 | Clientes en cola: 1
(E: 1,C: 44) Reloj 11.10784 | Clientes en cola: 2
(E: 1,C: 45) Reloj 111.62381 | Clientes en cola: 1
(E: 1,C: 46) Reloj 0.08236 | Clientes en cola: 1
(E: 1,C: 46) Reloj 2.94506 | Clientes en cola: 2
(E: 1,C: 46) Reloj 7.66559 | Clientes en cola: 5
(E: 1,C: 46) Reloj 12.38613 | Clientes en cola: 9
(E: 1,C: 47) Reloj 12.18028 | Clientes en cola: 1
(E: 1,C: 47) Reloj 21.04118 | Clientes en cola: 2
(E: 1,C: 48) Reloj 16.79029 | Clientes en cola: 1
(E: 1,C: 49) Reloj 5.03339 | Clientes en cola: 1
(E: 1,C: 50) Reloj 8.41889 | Clientes en cola: 1
(E: 1,C: 50) Reloj 11.55429 | Clientes en cola: 2
(E: 1,C: 51) Reloj 60.77072 | Clientes en cola: 1
(E: 1,C: 52) Reloj 1.98068 | Clientes en cola: 1
(E: 1,C: 52) Reloj 4.99203 | Clientes en cola: 2
(E: 1,C: 52) Reloj 8.10178 | Clientes en cola: 5
(E: 1,C: 52) Reloj 12.66646 | Clientes en cola: 7
(E: 1,C: 53) Reloj 10.51512 | Clientes en cola: 1
(E: 1,C: 53) Reloj 18.92011 | Clientes en cola: 2
(E: 1,C: 54) Reloj 16.37116 | Clientes en cola: 1
(E: 1,C: 55) Reloj 4.27008 | Clientes en cola: 1
(E: 1,C: 55) Reloj 20.51215 | Clientes en cola: 2
(E: 1,C: 56) Reloj 10.74051 | Clientes en cola: 1
(E: 1,C: 56) Reloj 12.92118 | Clientes en cola: 2
(E: 1,C: 57) Reloj 9.75588 | Clientes en cola: 1
(E: 1,C: 57) Reloj 15.76840 | Clientes en cola: 2
(E: 1,C: 58) Reloj 18.26747 | Clientes en cola: 1
(E: 1,C: 59) Reloj 19.48008 | Clientes en cola: 1
(E: 1,C: 60) Reloj 16.76531 | Clientes en cola: 1
(E: 1,C: 61) Reloj 9.57167 | Clientes en cola: 1
(E: 1,C: 61) Reloj 12.33765 | Clientes en cola: 2
(E: 1,C: 62) Reloj 3.24558 | Clientes en cola: 1
(E: 1,C: 62) Reloj 9.56962 | Clientes en cola: 2
(E: 1,C: 62) Reloj 11.22282 | Clientes en cola: 4
(E: 1,C: 62) Reloj 11.70227 | Clientes en cola: 6
(E: 1,C: 62) Reloj 12.57885 | Clientes en cola: 8
(E: 1,C: 62) Reloj 12.84175 | Clientes en cola: 11
(E: 1,C: 62) Reloj 14.72250 | Clientes en cola: 13
(E: 1,C: 63) Reloj 28.28225 | Clientes en cola: 1
(E: 1,C: 64) Reloj 8.61483 | Clientes en cola: 1
(E: 1,C: 64) Reloj 9.76339 | Clientes en cola: 2
(E: 1,C: 65) Reloj 9.76645 | Clientes en cola: 1
(E: 1,C: 65) Reloj 11.84653 | Clientes en cola: 2
(E: 1,C: 65) Reloj 14.49049 | Clientes en cola: 4
(E: 1,C: 66) Reloj 5.99786 | Clientes en cola: 1
(E: 1,C: 67) Reloj 77.60129 | Clientes en cola: 1
(E: 1,C: 68) Reloj 6.19196 | Clientes en cola: 1
(E: 1,C: 68) Reloj 18.78140 | Clientes en cola: 2
(E: 1,C: 69) Reloj 5.12683 | Clientes en cola: 1
(E: 1,C: 69) Reloj 7.77785 | Clientes en cola: 2
