(E: 1,C: 30) Reloj 9.27585 | Clientes en cola: 2
(E: 1,C: 31) Reloj 12.98563 | Clientes en cola: 1
(E: 1,C: 31) Reloj 16.58924 | Clientes en cola: 2
(E: 1,C: 32) Reloj 8.48651 | Clientes en cola: 1
(E: 1,C: 32) Reloj 12.43097 | Clientes en cola: 2
(E: 1,C: 33) Reloj 3.64827 | Clientes en cola: 1
(E: 1,C: 33) Reloj 10.39332 | Clientes en cola: 2
(E: 1,C: 34) Reloj 40.91537 | Clientes en cola: 1
(E: 1,C: 35) Reloj 34.63025 | Clientes en cola: 1
(E: 1,C: 36) Reloj 26.27491 | Clientes en cola: 1
(E: 1,C: 37) Reloj 5.29853 | Clientes en cola: 1
(E: 1,C: 37) Reloj 12.62570 | Clientes en cola: 2
(E: 1,C: 38) Reloj 11.53535 | Clientes en cola: 1
(E: 1,C: 38) Reloj 12.01985 | Clientes en cola: 2
(E: 1,C: 38) Reloj 13.65771 | Clientes en cola: 5
(E: 1,C: 39) Reloj 32.57416 | Clientes en cola: 1
(E: 1,C: 40) Reloj 107.18407 | Clientes en cola: 1
(E: 1,C: 41) Reloj 21.71942 | Clientes en cola: 1
(E: 1,C: 42) Reloj 13.90588 | Clientes en cola: 1
(E: 1,C: 42) Reloj 17.24317 | Clientes en cola: 2
(E: 1,C: 43) Reloj 94.28130 | Clientes en cola: 1
(E: 1,C: 44) Reloj 4.74715 | Clientes en cola: 1
(E: 1,C: 44) Reloj 14.60958 | Clientes en cola: 2
(E: 1,C: 45) Reloj 37.34553 | Clientes en cola: 1
(E: 1,C: 46) Reloj 36.05126 | Clientes en cola: 1
(E: 1,C: 47) Reloj 85.37344 | Clientes en cola: 1
(E: 1,C: 48) Reloj 56.36821 | Clientes en cola: 1
(E: 1,C: 49) Reloj 47.13814 | Clientes en cola: 1
(E: 1,C: 50) Reloj 9.79494 | Clientes en cola: 1
(E: 1,C: 51) Reloj 54.08269 | Clientes en cola: 1
(E: 1,C: 52) Reloj 14.35966 | Clientes en cola: 1
(E: 1,C: 52) Reloj 18.39966 | Clientes en cola: 2
(E: 1,C: 53) Reloj 13.04881 | Clientes en cola: 1
(E: 1,C: 53) Reloj 15.11310 | Clientes en cola: 2
(E: 1,C: 54) Reloj 14.11458 | Clientes en cola: 1
(E: 1,C: 55) Reloj 55.61458 | Clientes en cola: 1
(E: 1,C: 56) Reloj 4.59866 | Clientes en cola: 1
(E: 1,C: 56) Reloj 13.86913 | Clientes en cola: 2
(E: 1,C: 57) Reloj 7.25779 | Clientes en cola: 1
(E: 1,C: 57) Reloj 12.13912 | Clientes en cola: 2
(E: 1,C: 58) Reloj 30.27075 | Clientes en cola: 1
(E: 1,C: 59) Reloj 1.44687 | Clientes en cola: 1
(E: 1,C: 59) Reloj 10.91169 | Clientes en cola: 2
(E: 1,C: 59) Reloj 17.04222 | Clientes en cola: 5
(E: 1,C: 60) Reloj 9.35146 | Clientes en cola: 1
(E: 1,C: 60) Reloj 11.60239 | Clientes en cola: 2
(E: 1,C: 61) Reloj 0.89233 | Clientes en cola: 1
(E: 1,C: 61) Reloj 9.28437 | Clientes en cola: 2
(E: 1,C: 62) Reloj 2.07432 | Clientes en cola: 1
(E: 1,C: 62) Reloj 6.75443 | Clientes en cola: 2
(E: 1,C: 62) Reloj 13.91429 | Clientes en cola: 5
(E: 1,C: 63) Reloj 18.75702 | Clientes en cola: 1
(E: 1,C: 64) Reloj 28.72316 | Clientes en cola: 1
(E: 1,C: 65) Reloj 18.26077 | Clientes en cola: 1
(E: 1,C: 66) Reloj 29.36490 | Clientes en cola: 1
(E: 1,C: 67) Reloj 9.01053 | Clientes en cola: 1
(E: 1,C: 67) Reloj 11.39257 | Clientes en cola: 2
(E: 1,C: 68) Reloj 11.90270 | Clientes en cola: 1
(E: 1,C: 68) Reloj 22.30336 | Clientes en cola: 2
(E: 1,C: 69) Reloj 11.14333 | Clientes en cola: 1
(E: 1,C: 69) Reloj 11.25707 | Clientes en cola: 2
(E: 1,C: 70) Reloj 103.58707 | Clientes en cola: 1
(E: 1,C: 71) Reloj 12.80276 | Clientes en cola: 1
(E: 1,C: 72) Reloj 6.48412 | Clientes en cola: 1
(E: 1,C: 73) Reloj 28.30743 | Clientes en cola: 1
(E: 1,C: 74) Reloj 80.42152 | Clientes en cola: 1
(E: 1,C: 75) Reloj 45.32239 | Clientes en cola: 1
(E: 1,C: 76) Reloj 19.15179 | Clientes en cola: 1
(E: 1,C: 77) Reloj 9.62103 | Clientes en cola: 1
(E: 1,C: 77) Reloj 22.74370 | Clientes en cola: 2
(E: 1,C: 78) Reloj 4.74115 | Clientes en cola: 1
(E: 1,C: 78) Reloj 9.29346 | Clientes en cola: 2
(E: 1,C: 78) Reloj 18.70715 | Clientes en cola: 4
(E: 1,C: 79) Reloj 1.73929 | Clientes en cola: 1
(E: 1,C: 79) Reloj 7.41479 | Clientes en cola: 2
(E: 1,C: 79) Reloj 12.89804 | Clientes en cola: 6
(E: 1,C: 80) Reloj 18.71744 | Clientes en cola: 1
(E: 1,C: 81) Reloj 39.41934 | Clientes en cola: 1
(E: 1,C: 82) Reloj 17.08974 | Clientes en cola: 1
(E: 1,C: 83) Reloj 17.19957 | Clientes en cola: 1
(E: 1,C: 84) Reloj 1.70189 | Clientes en cola: 1
(E: 1,C: 84) Reloj 10.95280 | Clientes en cola: 2
(E: 1,C: 85) Reloj 48.11623 | Clientes en cola: 1
(E: 1,C: 86) Reloj 0.30192 | Clientes en cola: 1
(E: 1,C: 86) Reloj 0.46996 | Clientes en cola: 2
(E: 1,C: 86) Reloj 3.13989 | Clientes en cola: 4
(E: 1,C: 86) Reloj 3.77522 | Clientes en cola: 7
(E: 1,C: 86) Reloj 7.94437 | Clientes en cola: 9
(E: 1,C: 86) Reloj 8.57971 | Clientes en cola: 13
(E: 1,C: 86) Reloj 9.21504 | Clientes en cola: 18
(E: 1,C: 86) Reloj 9.85037 | Clientes en cola: 22
(E: 1,C: 86) Reloj 10.48571 | Clientes en cola: 26
(E: 1,C: 86) Reloj 11.12104 | Clientes en cola: 30
(E: 1,C: 86) Reloj 11.75637 | Clientes en cola: 35
(E: 1,C: 86) Reloj 12.39170 | Clientes en cola: 39
(E: 1,C: 86) Reloj 13.02704 | Clientes en cola: 42
(E: 1,C: 86) Reloj 13.66237 | Clientes en cola: 45
(E: 1,C: 86) Reloj 14.06811 | Clientes en cola: 48
(E: 1,C: 86) Reloj 14.29770 | Clientes en cola: 52
(E: 1,C: 86) Reloj 14.93304 | Clientes en cola: 57
(E: 1,C: 87) Reloj 11.87423 | Clientes en cola: 1
(E: 1,C: 88) Reloj 25.58182 | Clientes en cola: 1
(E: 1,C: 89) Reloj 11.77160 | Clientes en cola: 1
(E: 1,C: 89) Reloj 20.63975 | Clientes en cola: 2
(E: 1,C: 90) Reloj 24.74141 | Clientes en cola: 1
(E: 1,C: 91) Reloj 52.45617 | Clientes en cola: 1
(E: 1,C: 92) Reloj 5.37568 | Clientes en cola: 1
(E: 1,C: 92) Reloj 7.50737 | Clientes en cola: 2
(E: 1,C: 92) Reloj 10.76077 | Clientes en cola: 5
(E: 1,C: 92) Reloj 14.01416 | Clientes en cola: 8
(E: 1,C: 93) Reloj 20.84463 | Clientes en cola: 1
(E: 1,C: 94) Reloj 20.27737 | Clientes en cola: 1
(E: 1,C: 95) Reloj 9.25433 | Clientes en cola: 1
(E: 1,C: 95) Reloj 16.77791 | Clientes en cola: 2
(E: 1,C: 96) Reloj 31.07536 | Clientes en cola: 1
(E: 1,C: 97) Reloj 60.25139 | Clientes en cola: 1
(E: 1,C: 98) Reloj 2.32780 | Clientes en cola: 1
(E: 1,C: 98) Reloj 15.80660 | Clientes en cola: 2
(E: 1,C: 99) Reloj 29.65726 | Clientes en cola: 1
(E: 2,C: 0) Reloj 8.41931 | Clientes en cola: 1
(E: 2,C: 0) Reloj 12.21786 | Clientes en cola: 2
(E: 2,C: 1) Reloj 30.07907 | Clientes en cola: 1
(E: 2,C: 2) Reloj 1.07128 | Clientes en cola: 1
(E: 2,C: 2) Reloj 6.67187 | Clientes en cola: 2
(E: 2,C: 2) Reloj 12.01042 | Clientes en cola: 4
(E: 2,C: 2) Reloj 12.58694 | Clientes en cola: 7
(E: 2,C: 2) Reloj 15.30794 | Clientes en cola: 9
(E: 2,C: 3) Reloj 6.08722 | Clientes en cola: 1
(E: 2,C: 3) Reloj 8.13320 | Clientes en cola: 2
(E: 2,C: 3) Reloj 14.58228 | Clientes en cola: 4
(E: 2,C: 4) Reloj 55.97398 | Clientes en cola: 1
(E: 2,C: 5) Reloj 0.95336 | Clientes en cola: 1
(E: 2,C: 5) Reloj 4.87030 | Clientes en cola: 2
(E: 2,C: 6) Reloj 32.89021 | Clientes en cola: 1
(E: 2,C: 7) Reloj 0.54926 | Clientes en cola: 1
(E: 2,C: 8) Reloj 78.94342 | Clientes en cola: 1
(E: 2,C: 9) Reloj 3.06215 | Clientes en cola: 1
(E: 2,C: 9) Reloj 3.98206 | Clientes en cola: 2
(E: 2,C: 9) Reloj 10.88802 | Clientes en cola: 8
(E: 2,C: 9) Reloj 14.97945 | Clientes en cola: 13
(E: 2,C: 10) Reloj 16.11629 | Clientes en cola: 1
